INFO:root:FileInfo(name='1', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='2', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='3', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='4', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='5', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='dz', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='dz_10', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='dz_7', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='dz_8', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='dz_9', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='fibo', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='file_info', ext='.log', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='guess', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='HomeWork_1', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='hwp8', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='List comprehension', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_0', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_1', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_10', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_11', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_2', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_3', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_4', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_5', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_6', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_7', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_8', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='main_9', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='phone_book', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='prime', ext='.md', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='script_1', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='script_2', ext='.py', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='tell', ext='.txt', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='Справочник', ext='.txt', is_dir=False, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='.idea', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='.pytest_cache', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='dir_home_dz_7', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='dz_modul', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='Lesson 7. Files and the file system', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='Lesson_10_OOP', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='Lesson_8_Serialization', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='Lesson_9_Decorators', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='OOP Simple', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='seminar_14_tests', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='seminar_modyl', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='venv', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='yyy15', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='__pycache__', ext=None, is_dir=True, parent='F:\\PyCharm_code\\')
INFO:root:FileInfo(name='.gitignore', ext='', is_dir=False, parent='F:\\PyCharm_code\\.idea')
INFO:root:FileInfo(name='.name', ext='', is_dir=False, parent='F:\\PyCharm_code\\.idea')
INFO:root:FileInfo(name='encodings', ext='.xml', is_dir=False, parent='F:\\PyCharm_code\\.idea')
INFO:root:FileInfo(name='misc', ext='.xml', is_dir=False, parent='F:\\PyCharm_code\\.idea')
INFO:root:FileInfo(name='modules', ext='.xml', is_dir=False, parent='F:\\PyCharm_code\\.idea')
INFO:root:FileInfo(name='pythonProject', ext='.iml', is_dir=False, parent='F:\\PyCharm_code\\.idea')
